Sample ID,Alpha Diversity (Shannon Index)
DC001,2.5199073624630786
DC002,3.4511738344508953
DC003,3.3858698942981196
DC004,2.8346244787099475
DC005,3.2903957627172904
DC006,2.5602290703539357
DC007,3.2502920476583195
DC008,2.995648370672038
DC009,3.010167758384006
DC010,3.29715905546874
DC011,2.483439843227914
DC012,3.522842316018188
DC013,3.0213341491215595
DC014,2.891474875516255
DC015,2.346119537336824
DC016,3.024525043777218
DC017,1.7467624326684168
DC018,1.905161899533827
DC019,0.0
DC020,2.1227237198530338
DC021,2.305167019937855
DC022,3.3428057102811737
DC024,3.511142109971063
DC025,3.499772655146459
DC026,3.4281400010579213
DC027,2.72438163073632
DC028,3.28454351465901
DC029,3.049016124976869
DC030,3.137581564514304
DC031,2.826604120379871
DC032,3.060486960419364
DC033,3.16190788815787
DC034,2.739269328105095
DC035,2.1142239616103224
DC036,2.6380410417722557
DC037,2.857649596475144
DC038,2.804483157208017
DC039,2.687148851419158
DC040,2.452060149761877
DC041,2.8718008587992463
DC042,3.1134307930433334
DC043,2.4175807784402767
DC044,2.925922979244435
DC045,2.747897333070352
DC046,3.195703585637619
DC047,3.3618179139769904
DC048,2.8589793230910137
DC049,3.228916434214386
DC050,3.3847943124464335
DC051,3.2462843912528894
DC052,2.916366254162396
DC071,3.4806362888930193
DC072,3.7307850054002083
DC073,3.46689181363585
DC074,3.589963320373545
DC075,3.00336751112782
DC076,3.565709886052861
DC077,3.6513416585570457
DC079,3.5265073134188336
DC084,2.918237116890145
DC085,1.6583907292449402
DC086,2.6827548184631587
DC087,2.693590536790078
DC088,3.3350324689129276
DC089,3.3390945283754383
DC090,3.4113117184854556
DC091,3.6325315528124187
DC092,3.6585987439623713
DC093,2.6352493940649238
DC094,3.156991155670073
DC099,3.110932420907263
FB002,3.0208163485319908
FB004,2.3069890802189468
FB009,3.1950612772854554
FB014,2.669814449749615
FB015,3.3572984916445625
FB033,2.2205545569086995
FB034,2.7211195362946463
FB036,2.9989731444242365
FB039,2.578818511373907
FB040,2.2395289017297366
FB041,2.490751548743751
FB043,2.931556615322785
FB048,2.3889447171408627
FB049,3.3338381768282477
FB053,0.6780982129374733
FB054,2.293671594453953
FB057,1.5403784628393407
FB059,1.3638065110549826
FB061,1.8920934662611504
FB062,0.8220181629482923
FB063,2.4349628304778714
FB064,2.4974472997756325
FB074,3.2621866142786042
FB086,3.526899031058509
FB087,2.51451340021025
FB095,2.790563661055121
FB096,2.6503490541706918
FB097,3.4070510316058726
FB099,2.6980930470821205
FB100,2.7786379544700877
FB103,3.3307876535152703
FB104,1.6537248323605551
FB105,0.8604534588384471
FB109,3.575772442460789
FB112,3.159173034021843
FB113,3.8292616813304683
FB114,3.893893368110883
FB116,2.433322119536201
FB119,2.605742930470387
FB121,2.6940455914900716
FB126,3.533027433969557
FB130,3.670967595855905
FB131,3.6421542105241236
FB132,3.7306392047812134
FB133,3.0461964571614315
FB134,3.518771557407358
FB135,2.6289834809089947
FB137,3.8837667646220213
FB139,3.8800475739760136
FB140,2.9496649790494303
FB144,3.5213679668345335
FB145,3.1505167039136808
FB146,3.747785608538017
FB151,2.9765824749131076
FB152,3.71270537521096
FB155,3.123049760890294
FB156,3.472236344612336
FB158,3.2149541723724635
FB159,3.7341115296564618
FB161,2.4080423018584285
FB163,2.418371201120834
FB164,2.9330633655331546
FB165,3.4968680802243086
FB168,3.225929051336709
FB169,3.607217632940039
FB170,2.720168564163103
FB171,3.513192536387899
FB173,2.775086277425568
FB174,3.003740044576918
FB175,3.3201343126004814
FB177,2.828847822211618
FB178,3.2379907707176643
FB193,3.2170400178050356
FB194,2.9138872054962257
FB196,2.2396555251866928
FB199,3.4653132635462014
FB201,3.2944615539409723
FB207,2.7877553068571133
FB211,0.9055292447812674
FB217,2.449853364282303
FB219,2.6070931810297546
FB223,3.4478921052288145
FB224,2.7755870363745814
FB227,3.2910832480902066
FB229,2.9222034737128224
FB232,2.9087521545992017
FB239,2.010308200165087
FB240,3.3389065003212917
FB244,2.9776055534047057
FB246,3.099100364338798
FB255,2.65984047568759
FB259,2.7831687869033677
FB276,0.376938352501109
FB280,3.318415040818563
FB282,2.842859587297159
FB285,2.5952720403418175
FB291,3.03036483241151
FB295,2.949325880683512
FB299,2.573506474416011
FB300,2.8348896368429837
FB301,3.512202561999742
FB307,2.9207213548915965
FB308,3.0594185322822476
FB310,3.240231696447508
FB311,3.466940786381885
FB313,3.3819443411711774
FB315,3.0520637393574215
FB316,2.42626653387729
FB318,3.0366125518236986
FB319,2.8173150675406076
FB321,3.372268303019418
FB331,2.0096662142754202
FB334,3.0172989000527313
FB336,2.0118649918730065
FB338,2.611430207914803
FB340,3.3608705371069094
FB341,3.2029256526830627
FB344,3.616980111032985
FB345,3.724333153759728
FB347,2.6741274466206795
FB348,1.8968086067930823
FB350,2.9816249399916805
FB351,2.6330467353760336
FB354,2.6983872513010843
FB356,3.110990292226302
FB357,3.0865619873185364
FB359,3.1781747921238055
FB360,3.281651614371361
FB361,2.830161447636364
FB363,3.003912726191391
FB367,2.48947309408786
FB369,3.1094979873804696
FB371,2.85577921589997
FB374,2.6883452017200833
FB375,3.2292824239884794
FB379,1.2375853702893613
FB380,3.0213957587895637
FB382,1.376855917057961
FB383,3.7547887263094992
FB384,3.036679720395261
FB385,3.1495198885333235
FB386,2.967024984513276
FB390,3.2076858592694
FB391,2.770906142112275
FB393,3.0562612056440237
FB394,3.3026068439159926
FB398,2.8007106717265033
FB402,2.7196245977437687
FB404,2.947717058489
FB408,2.5070206761204976
FB410,3.357721911072608
FB411,2.709079286022835
FB412,3.142241895852618
FB418,3.1357250551580984
FB420,2.9269144427747262
FB423,2.422941457126161
FB424,1.9669447818717334
FB427,3.321771041275317
FB430,3.3863350374903454
FB438,3.3376703495438176
FB439,2.3808732070128045
FB441,3.891148977624713
FB442,3.219896240017282
FB445,3.3005676472929393
FB446,3.303342416068152
FB448,2.545725048304121
